Fish ID,Fish_ID_year,Processed by,Processed on,Sample #,Year,Sampled on,Site,Treatment,Species code,Length,Wet Weight ,Gut weight,Group,Lowest taxonomic classification,Digestion,N,Notes,Photo ID,Entered by,Entered on
NEPaPC01-01,NEPaPC01-01-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,50,1.3,NA,Empty,Empty,NA,NA,Empty,,MB,20220707
 NEPaPC01-02, NEPaPC01-02-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,40,0.71,0.0093,Amphipod,NA,NA,NA,Tube-dwelling,NEPaPC01-001,MB,20220707
 NEPaPC01-03, NEPaPC01-03-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,41,0.78,0.0056,Fish,NA,NA,NA,Scales,NEPaPC01-002,MB,20220707
 NEPaPC01-03, NEPaPC01-03-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,41,0.78,0.0056,Crustacean,NA,NA,NA,Eyes,NEPaPC01-002,MB,20220707
 NEPaPC01-04, NEPaPC01-04-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,44,0.9,0.013,Crustacean,Shrimp,NA,NA,Body fragments,NEPaPC01-003,MB,20220707
 NEPaPC01-05, NEPaPC01-05-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,47,1.15,0.011,SAV,NA,NA,NA,Grass,,MB,20220707
 NEPaPC01-06, NEPaPC01-06-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,35,0.56,0.004,Empty,Empty,NA,NA,,,MB,20220707
 NEPaPC01-07, NEPaPC01-07-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,61,1.73,0.03,Fish,NA,NA,NA,Scales,NEPaPC01-004,MB,20220707
 NEPaPC01-07, NEPaPC01-07-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,61,1.73,0.03,Crustacean,NA,NA,NA,Appendages and eyes,NEPaPC01-005,MB,20220707
NEPaPC01-08,NEPaPC01-08-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,46,1.01,0.013,Amphipod,NA,NA,NA,Tube-dwelling,NEPaPC01-006,MB,20220707
NEPaPC01-08,NEPaPC01-08-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,46,1.01,0.013,Crustacean,Tanaidacea,NA,NA,,NEPaPC01-007,MB,20220707
NEPaPC01-09,NEPaPC01-09-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,50,1.23,0.011,Empty,Empty,NA,NA,,,MB,20220707
NEPaPC01-10,NEPaPC01-10-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,54,1.42,0.023,Amphipod,NA,NA,NA,Tube-dwelling,,MB,20220707
NEPaPC01-10,NEPaPC01-10-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,54,1.42,0.023,Crustacean,NA,NA,NA,Eyes,,MB,20220707
NEPaPC01-11,NEPaPC01-11-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,45,0.72,0.0071,Empty,Empty,NA,NA,,,MB,20220707
